time energy a1x a1y a1z a2x a2y a2z a3x a3y a3z
91.49 0.010020167532825374 -0.14689962589423555 -0.27615346835295196 -3.129128127998164e-05 0.22252238239493802 0.8028848113373074 0.00018774958029972024 1.0177624107427792 0.46757817614944275 0.0004039516112776926
91.5 0.010001132955461766 -0.14674090005106824 -0.27593371028359337 -3.119635478729529e-05 0.22201498895417612 0.8029244824407183 0.00018762702926984924 1.0181096259297306 0.4673175115296318 0.0004041035825905594
91.51 0.009981823908216865 -0.14657850261069422 -0.2757105726717904 -3.109997658949865e-05 0.22150614641291194 0.802963247225928 0.00018750393860528713 1.0184546184309262 0.4670543735407374 0.00040425461442085463
91.52 0.009962241763063122 -0.1464124356586314 -0.27548406075521337 -3.1002147691170084e-05 0.22099586554985343 0.8030011053679894 0.00018738031154032176 1.018797379553178 0.4667887677452798 0.00040440470445027646
91.53 0.009942387918999493 -0.14624270136367754 -0.2752541798693108 -3.090286913182529e-05 0.22048415716270706 0.803038056596706 0.0001872561513216963 1.0191379006675794 0.4665206997488068 0.00040455385038408063
91.54 0.009922263801910839 -0.14606930197778892 -0.2750209354471178 -3.080214198605607e-05 0.2199710320677903 0.8030741006965608 0.00018713146120853978 1.019476173209773 0.4662501751997743 0.00040470204995144473
91.55 0.009901870864424407 -0.14589223983595678 -0.2747843330190625 -3.069996736337422e-05 0.2194565010996432 0.8031092375066431 0.00018700624447221112 1.0198121886802145 0.46597719978942465 0.00040484930090527735
91.56 0.009881210585763018 -0.14571151735608046 -0.2745443782127677 -3.0596346408176805e-05 0.218940575110639 0.8031434669205736 0.00018688050439614285 1.020145938644435 0.46570177925166395 0.0004049956010223569
91.57000000000001 0.009860284471595274 -0.14552713703883796 -0.27430107675285026 -3.0491280299711505e-05 0.21842326497059428 0.8031767888864277 0.00018675424427573714 1.0204774147333016 0.46542391936293803 0.0004051409481034703
91.58 0.009839094053882703 -0.14533910146755355 -0.27405443446071676 -3.03847702519725e-05 0.21790458156637807 0.8032092034066569 0.00018662746741824427 1.020806608643276 0.46514362594210673 0.00040528533997341316
91.59 0.009817640890723851 -0.1451474133080624 -0.27380445725435604 -3.0276817513717833e-05 0.2173845358015203 0.8032407105380078 0.00018650017714262395 1.0211335121366716 0.4648609048503171 0.0004054287744812324
91.60000000000001 0.009795926566195316 -0.14495207530857288 -0.27355115114812845 -3.016742336824389e-05 0.21686313859581952 0.8032713103914402 0.00018637237677940647 1.0214581170419061 0.46457576199087497 0.00040557124950015705
91.61 0.009773952690189831 -0.14475309029952552 -0.2732945222525515 -3.0056589133593565e-05 0.21634040088494974 0.8033010031320423 0.00018624406967055395 1.0217804152537555 0.4642882033091151 0.00040571276292777165
91.62 0.009751720898251371 -0.1445504611934496 -0.2730345767740829 -2.994431616229606e-05 0.2158163336200668 0.8033297889789451 0.00018611525916933892 1.0221003987336033 0.46399823479227004 0.0004058533126860336
91.63 0.009729232851407248 -0.14434419098481677 -0.2727713210148993 -2.983060584129749e-05 0.21529094776741386 0.8033576682052339 0.0001859859486402055 1.0224180595096886 0.46370586246933765 0.00040599289672134256
91.64 0.00970649023599737 -0.1441342827498919 -0.2725047613726732 -2.971545959208231e-05 0.2147642543079263 0.8033846411378585 0.0001858561414586307 1.0227333896773525 0.46341109241094697 0.0004061315130046098
91.65 0.009683494763500462 -0.14392073964658098 -0.27223490434034503 -2.9598878870465157e-05 0.21423626423683587 0.8034107081575412 0.00018572584101098554 1.0230463813992818 0.46311393072922297 0.0004062691595313624
91.66 0.009660248170357493 -0.14370356491427658 -0.2719617565058932 -2.9480865166538802e-05 0.2137069885632743 0.8034358696986839 0.00018559505069450045 1.0233570269057508 0.46281438357764976 0.0004064058343217951
91.67 0.009636752217792251 -0.14348276187370052 -0.2716853245521005 -2.936142000476089e-05 0.21317643830987618 0.8034601262492712 0.00018546377391691826 1.0236653184948605 0.4625124571509325 0.0004065415354208052
91.68 0.009613008691628969 -0.1432583339267436 -0.2714056152563167 -2.924054494365903e-05 0.21264462451238136 0.8034834783507745 0.0001853320140965983 1.0239712485327768 0.4622081576848578 0.0004066762608981485
91.69 0.009589019402107183 -0.1430302845563022 -0.27112263549021876 -2.9118241575882848e-05 0.21211155821923655 0.8035059265980515 0.00018519977466220422 1.024274809453965 0.4619014914561531 0.00040681000884856084
91.7 0.009564786183693903 -0.14279861732611332 -0.2708363922195676 -2.899451152813459e-05 0.2115772504911965 0.803527471639246 0.00018506705905266914 1.0245759937614243 0.46159246478234417 0.0004069427773916194
91.71000000000001 0.009540310894892838 -0.14256333588058567 -0.27054689250396124 -2.886935646103034e-05 0.21104171240092456 0.8035481141756843 0.00018493387071702233 1.024874794026917 0.46128108402161144 0.0004070745646719853
91.72 0.009515595418050995 -0.14232444394462887 -0.27025414349658494 -2.8742778069256163e-05 0.21050495503259276 0.8035678549617707 0.000184800213114233 1.0251712028911988 0.4609673555726452 0.0004072053688593865
91.73 0.009490641659162498 -0.14208194532347937 -0.26995815244395843 -2.8614778081169096e-05 0.20996698948148124 0.803586694804881 0.0001846660897131063 1.0254652130642452 0.4606512858744991 0.0004073351881487392
91.74 0.009465451547669796 -0.14183584390252413 -0.2696589266856796 -2.8485358258953288e-05 0.2094278268535772 0.8036046345652533 0.0001845315039921444 1.0257568173254756 0.46033288140644274 0.00040746402076016503
91.75 0.009440027036262077 -0.14158614364712138 -0.2693564736541649 -2.83545203985853e-05 0.20888747826517343 0.8036216751558785 0.00018439645943937313 1.026046008523976 0.4600121486878122 0.00040759186493907794
91.76 0.009414370100671159 -0.14133284860241868 -0.2690508008743868 -2.8222266329573902e-05 0.2083459548424663 0.803637817542387 0.00018426095955218586 1.0263327795787187 0.45968909427786003 0.00040771871895634026
91.77 0.009388482739464715 -0.14107596289316823 -0.26874191596360825 -2.8088597914994757e-05 0.20780326772115332 0.8036530627429356 0.00018412500783734345 1.0266171234787806 0.4593637247756032 0.000407844581108176
91.78 0.009362366973836848 -0.1408154907235397 -0.2684298266311131 -2.7953517051334306e-05 0.20725942804603026 0.8036674118280912 0.00018398860781069669 1.0268990332835588 0.4590360468196705 0.00040796944971637893
91.79 0.00933602484739627 -0.1405514363769303 -0.2681145406779345 -2.7817025668524457e-05 0.2067144469705877 0.803680865920713 0.00018385176299708225 1.0271785021229836 0.4587060670881474 0.0004080933231281913
91.8 0.009309458425951794 -0.14028380421577255 -0.26779606599657924 -2.7679125729786463e-05 0.20616833565660736 0.8036934261958327 0.0001837144769301839 1.0274555231977303 0.4583737922984211 0.0004082161997165986
91.81 0.009282669797295378 -0.14001259868133878 -0.2674744105707494 -2.753981923156153e-05 0.20562110527375801 0.8037050938805336 0.00018357675315241106 1.0277300897794277 0.458039229207023 0.00040833807788012147
91.82000000000001 0.009255661070982711 -0.13973782429354348 -0.26714958247506054 -2.7399108203441432e-05 0.20507276699919094 0.8037158702538266 0.0001834385952147427 1.0280021952108653 0.4577023846094704 0.00040845895604314526
91.83 0.009228434378111312 -0.13945948565074284 -0.26682158987475707 -2.7256994708064423e-05 0.20452333201713496 0.8037257566465259 0.00018330000667660584 1.0282718329061975 0.457363265340107 0.00040857883265579863
91.84 0.00920099187109629 -0.1391775874295319 -0.2664904410254242 -2.711348084116728e-05 0.20397281151849136 0.8037347544411212 0.00018316099110575424 1.0285389963511455 0.4570218782719418 0.0004086977061940576
91.85000000000001 0.009173335723443522 -0.13889213438453857 -0.26615614427269685 -2.6968568731238363e-05 0.20342121670042826 0.8037428650716496 0.00018302155207806014 1.028803679103198 0.4566782303164868 0.0004088155751598324
